model,corpus,seed,pid,test_loss,test_ppl
vanilla,bllip-xs,0111,,4.588538824205334,98.35061757800464
vanilla,bllip-xs,0120,,4.5864891452239425,98.1492368377865
vanilla,bllip-xs,0922,,4.585675113812788,98.06937278635307
ordered-neurons,bllip-xs,0111,,4.30,73.46
ordered-neurons,bllip-xs,0120,,4.25,70.44
ordered-neurons,bllip-xs,0922,,4.27,71.38
rnng,bllip-xs,4301,3151991375,,127.871831358771
rnng,bllip-xs,28066,,,119.966937737088
rnng,bllip-xs,28068,,,120.590706956246
rnng,bllip-xs,51272,,,121.394774451118
ngram,bllip-xs,0,,,240.2087
1gram,bllip-xs,0,,,1496.716
vanilla,bllip-sm,0111,,4.1828276507959306,65.55094658726145
vanilla,bllip-sm,0120,,4.184690381357105,65.67316413262303
vanilla,bllip-sm,0922,,4.179671585631114,65.34438965324375
ordered-neurons,bllip-sm,0111,,3.99,53.85
ordered-neurons,bllip-sm,0120,,3.99,54.06
ordered-neurons,bllip-sm,0922,,3.99,54.09
rnng,bllip-sm,64924,3890658479,,83.9402183565117
rnng,bllip-sm,7877,,,89.5070407704595
ngram,bllip-sm,0,,,158.5957
1gram,bllip-sm,0,,,1281.617
vanilla,bllip-md,0111,,4.077868919219251,59.01956028519512
vanilla,bllip-md,0922,,4.079764973330152,59.131570720463905
vanilla,bllip-md,0120,,4.077684901507233,59.00870063996128
# vanilla,bllip-md-gptbpe,0111,,3.7245651133775843,41.45320138157845
vanilla,bllip-md-gptbpe,0111,,,93.42
ordered-neurons,bllip-md,0111,,4.02,55.96
ordered-neurons,bllip-md,0120,,4.04,56.78
rnng,bllip-md,44862,3289118163,,70.2006649992628
rnng,bllip-md,3602,,,72.0434562013858
ngram,bllip-md,0,,,125.5826
1gram,bllip-md,0,,,1295.563
vanilla,bllip-lg,0111,,4.043468772295986,57.02380272282758
vanilla,bllip-lg,0120,,4.046047294949161,57.17102962229302
vanilla,bllip-lg,0922,,4.044417091300957,57.07790512780022
# vanilla,bllip-lg-bpe,0111,,3.8227322979091984,45.72898298704931
# vanilla,bllip-lg-gptbpe,0111,,3.648802755676371,38.42863003717732
vanilla,bllip-lg-bpe,0111,,,74.39
vanilla,bllip-lg-gptbpe,0111,,,85.20
ordered-neurons,bllip-lg,0111,,4.03,56.38
rnng,bllip-lg,7245,,,68.934954669235
rnng,bllip-lg,38435,,,71.6176199970805
rnng,bllip-lg,62488,,,68.1514722425893
ngram,bllip-lg,0,,,106.0919
1gram,bllip-lg,0,,,1325.358
gpt-2,bllip-sm-gptbpe,1581807578,,,183.09887207888318
gpt-2,bllip-md-gptbpe,1581861474,,,37.34693506999999
gpt-2,bllip-md-gptbpe,1582126320,,,36.724854236560297
gpt-2,bllip-lg-gptbpe,1581955288,,,32.138346380617548
gpt-2,bllip-xs-gptbpe,1581807512,,,529.9025383893179
# SKIP: Buggy models
# gpt-2,bllip-md,1584550225,,,97.38455860249735
# gpt-2,bllip-lg,1584550421,,,51.726119845389796
# gpt-2,bllip-lg,1585674487,,,51.530462538406795
# gpt-2,bllip-md,1585674527,,,95.45877727774543
gpt-2,bllip-md,1586986276,,,66.8184705119648
gpt-2,bllip-lg,1587139950,,,46.26273432747109
gpt-2,bllip-lg-rnngbpe,1587483709,,,55.294777061197301
gpt-2,bllip-md-gptbpe,1611262494,,,94.7570457013
gpt-2,bllip-md-gptbpe,1617460218,,,95.3024487245
gpt-2,bllip-lg-gptbpe,1611265210,,,61.5502486298
gpt-2,bllip-lg-gptbpe,1617460055,,,59.2442436696

